DATE,RAINFALL
8/1/1976,690.1
9/1/1976,360.7
10/1/1976,20.3
11/1/1976,71
12/1/1976,0
1/1/1977,0
2/1/1977,0
3/1/1977,0.8
4/1/1977,1.3
5/1/1977,10.3
6/1/1977,583
7/1/1977,1384.6
8/1/1977,580.5
9/1/1977,386.9
10/1/1977,77
11/1/1977,78.8
12/1/1977,0.2
1/1/1978,0
2/1/1978,0
3/1/1978,0
4/1/1978,8.3
5/1/1978,86.6
6/1/1978,946.2
7/1/1978,907.2
8/1/1978,575.4
9/1/1978,243
10/1/1978,67.2
11/1/1978,48.8
12/1/1978,2.8
1/1/1979,0
2/1/1979,0.7
3/1/1979,0.1
4/1/1979,0
5/1/1979,0.3
6/1/1979,653.1
7/1/1979,797.2
8/1/1979,687.2
9/1/1979,266.5
10/1/1979,26.8
11/1/1979,77.3
12/1/1979,0
1/1/1980,0
2/1/1980,0
3/1/1980,0
4/1/1980,3.5
5/1/1980,2.9
6/1/1980,877.7
7/1/1980,749.9
8/1/1980,851.8
9/1/1980,166.4
10/1/1980,20.7
11/1/1980,26.1
12/1/1980,25.2
1/1/1981,0.6
2/1/1981,0
3/1/1981,0
4/1/1981,0.1
5/1/1981,4.2
6/1/1981,773.9
7/1/1981,1073
8/1/1981,708.6
9/1/1981,480.6
10/1/1981,59.1
11/1/1981,24.5
12/1/1981,0.1
1/1/1982,0
2/1/1982,0
3/1/1982,0
4/1/1982,0
5/1/1982,14.5
6/1/1982,558.4
7/1/1982,987.1
8/1/1982,810.8
9/1/1982,216.3
10/1/1982,42.1
11/1/1982,69.6
12/1/1982,0
1/1/1983,0
2/1/1983,0
3/1/1983,0
4/1/1983,0.3
5/1/1983,0.4
6/1/1983,655.3
7/1/1983,1073.2
8/1/1983,1331.2
9/1/1983,638.8
10/1/1983,102.4
11/1/1983,9.7
12/1/1983,3.2
1/1/1984,0
2/1/1984,0.2
3/1/1984,0.1
4/1/1984,0.9
5/1/1984,0.3
6/1/1984,728
7/1/1984,1090.5
8/1/1984,421.4
9/1/1984,220.5
10/1/1984,118.7
11/1/1984,2.9
12/1/1984,0.3
1/1/1985,0
2/1/1985,0
3/1/1985,0
4/1/1985,0.4
5/1/1985,23.3
6/1/1985,1000
7/1/1985,921.3
8/1/1985,663.1
9/1/1985,153.1
10/1/1985,204.8
11/1/1985,2.5
